Alabama,Montgomery,Yellowhammer State,AL,
Alaska,Juneau,The Last Frontier,AK,
Arizona,Phoenix,The Grand Canyon State,AZ,
Arkansas,Little Rock,The Natural State,AR,
California,Sacramento,Golden State,CA,
Colorado,Denver,Centennial State,CO,
Connecticut,Hartford,Constitution State,CT,
Delaware,Dover,First State,DE,
Florida,Tallahassee,Sunshine State,FL,
Georgia,Atlanta,Peach State,GA,
Hawaii,Honolulu,Aloha State,HI,
Idaho,Boise,Gem State,ID,
Illinois,Springfield,Prairie State,IL,
Indiana,Indianapolis,Hoosier State,IN,
Iowa,Des Moines,Hawkeye State,IA,
Kansas,Topeka,Jayhawk State,KS,
Kentucky,Frankfort,Bluegrass State,KY,
Louisiana,Baton Rouge,Pelican State,LA
Maine,Augusta,Pine Tree State,ME,
Maryland,Annapolis,Free State,MD,
Massachusetts,Boston,Bay State,MA,
Michigan,Lansing,Wolverine State,MI,
Minnesota,St. Paul,Land of 1000 Lakes,MN,
Mississippi,Jackson,Magnolia State,MS,
Missouri,Jefferson City,Show-me State,MO,
Montana,Helena,Treasure State,MT,
Nebraska,Lincoln,Cornhusker State,NE,
Nevada,Carson City,Sagebrush State,NV,
New Hampshire,Concord,Granite State,NH,
New Jersey,Trenton,Garden State,NJ,
New Mexico,Santa Fe,Land of Enchantment,NM,
New York,Albany,Empire State,NY,
North Carolina,Raleigh,Tar Heel State,NC,
North Dakota,Bismarck,Sioux State,ND,
Ohio,Columbus,Buckeye State,OH,
Oklahoma,Oklahoma City,Sooner State,OK
Oregon,Salem,Beaver State,OR,
Pennsylvania,Harrisburg,Keystone State,PA,
Rhode Island,Providence,The Ocean State,RI,
South Carolina,Columbia,Palmetto State,SC,
South Dakota,Pierre,Mount Rushmore State,SD,
Tennessee,Nashville,Volunteer State,TN,
Texas,Austin,Lone Star State,TX,
Utah,Salt Lake City,Beehive State,UT,
Vermont,Montpelier,Green Mountain State,VT,
Virginia,Richmond,The Old Dominion,VA,
Washington,Olympia,Evergreen State,WA,
West Virginia,Charleston,Mountain State,WV,
Wisconsin,Madison,Badger State,WI,
Wyoming,Cheyenne,Equality State,WY,
